Id,Class
31,Sydney
32,Melbourne
33,Perth
34,Sydney
35,Brisbane
36,Sydney
37,Sydney
38,Melbourne
39,Sydney
310,Brisbane
311,Sydney
312,Brisbane
313,Sydney
314,Melbourne
315,Brisbane
316,Melbourne
317,Perth
318,Sydney
319,Brisbane
320,Perth
321,Melbourne
322,Brisbane
323,Perth
324,Melbourne
325,Brisbane
326,Melbourne
327,Sydney
328,Sydney
329,Sydney
330,Brisbane
331,Sydney
332,Perth
333,Sydney
334,Brisbane
335,Perth
336,Brisbane
337,Brisbane
338,Melbourne
339,Brisbane
340,Perth
341,Melbourne
342,Sydney
343,Melbourne
344,Brisbane
345,Sydney
346,Sydney
347,Brisbane
348,Sydney
349,Perth
350,Perth
351,Melbourne
352,Perth
353,Melbourne
354,Brisbane
355,Sydney
356,Melbourne
357,Melbourne
358,Perth
359,Melbourne
360,Sydney
361,Sydney
362,Sydney
363,Melbourne
364,Sydney
365,Melbourne
366,Perth
367,Melbourne
368,Perth
369,Perth
370,Perth
371,Perth
372,Melbourne
373,Brisbane
374,Brisbane
375,Sydney
376,Sydney
377,Sydney
378,Brisbane
379,Perth
380,Brisbane
381,Brisbane
382,Melbourne
383,Brisbane
384,Brisbane
385,Sydney
386,Melbourne
387,Perth
388,Brisbane
389,Melbourne
390,Melbourne
391,Melbourne
392,Brisbane
393,Melbourne
394,Sydney
395,Brisbane
396,Brisbane
397,Perth
398,Perth
399,Brisbane
3100,Brisbane
3101,Brisbane
3102,Perth
3103,Perth
3104,Brisbane
3105,Melbourne
3106,Sydney
3107,Brisbane
3108,Melbourne
3109,Sydney
3110,Melbourne
3111,Perth
3112,Melbourne
3113,Brisbane
3114,Sydney
3115,Brisbane
3116,Brisbane
3117,Brisbane
3118,Brisbane
3119,Brisbane
3120,Sydney
3121,Sydney
3122,Sydney
3123,Melbourne
3124,Sydney
3125,Brisbane
3126,Melbourne
3127,Perth
3128,Brisbane
3129,Melbourne
3130,Sydney
3131,Sydney
3132,Sydney
3133,Melbourne
3134,Melbourne
3135,Melbourne
3136,Brisbane
3137,Brisbane
3138,Melbourne
3139,Sydney
3140,Melbourne
3141,Brisbane
3142,Brisbane
3143,Sydney
3144,Brisbane
3145,Brisbane
3146,Brisbane
3147,Melbourne
3148,Brisbane
3149,Brisbane
3150,Melbourne
3151,Perth
3152,Brisbane
3153,Melbourne
3154,Sydney
3155,Sydney
3156,Brisbane
3157,Sydney
3158,Sydney
3159,Perth
3160,Sydney
3161,Sydney
3162,Sydney
3163,Melbourne
3164,Melbourne
3165,Sydney
3166,Melbourne
3167,Sydney
3168,Melbourne
3169,Brisbane
3170,Perth
3171,Sydney
3172,Brisbane
3173,Melbourne
3174,Melbourne
3175,Sydney
3176,Perth
3177,Brisbane
3178,Sydney
3179,Perth
3180,Melbourne
3181,Sydney
3182,Perth
3183,Melbourne
3184,Melbourne
3185,Brisbane
3186,Brisbane
